source_lang,target_lang,translations
sa,ml,4
mai,ne,4
de,ta,4
id,ur,4
es,te,4
ur,simple,4
ta,mr,4
ca,ks,4
mai,en,4
en,pi,4
hi,id,4
ml,ur,4
hu,bn,4
ur,es,4
ur,uz,4
id,bn,4
ta,as,4
it,hi,4
as,ha,4
mai,bh,4
ro,hi,4
sv,bn,4
uz,bn,4
es,ml,4
bn,syl,4
fa,mr,4
dty,ne,4
ta,my,4
be,ur,4
pa,fr,4
hi,cr,4
fr,te,4
pt,ur,4
ta,bn,4
or,bn,4
as,or,3
nl,ur,3
ur,ms,3
tk,ur,3
he,ml,3
ur,arz,3
fa,te,3
sat,bn,3
ja,gu,3
id,pa,3
sv,ml,3
hy,ur,3
mk,ur,3
pa,gu,3
mr,ks,3
ta,zh,3
simple,mni,3
kn,bn,3
bn,pt,3
fr,sd,3
mr,te,3
pt,new,3
simple,kn,3
de,te,3
hi,th,3
sat,en,3
hi,ang,3
ne,bh,3
et,bn,3
arz,ur,3
bn,ms,3
hi,ckb,3
hi,de,3
mr,pa,3
ta,de,3
ml,fr,3
bn,ru,3
sa,en,3
pl,bn,3
bh,gu,3
bn,eo,3
fr,or,3
iu,ta,3
ta,id,3
mai,mr,3
nl,hi,3
ko,ur,3
hi,it,3
ceb,ta,3
simple,bh,3
ckb,hi,3
es,gu,3
bn,arz,3
si,fr,3
ks,en,3
la,ur,3
fr,ne,3
es,sd,3
ml,ar,3
bn,my,3
pt,ml,3
mr,kn,3
ml,es,3
ta,es,2
mai,gom,2
bh,hi,2
bn,si,2
sq,ur,2
ko,hi,2
mai,id,2
it,ta,2
mni,hif,2
ml,simple,2
bn,ko,2
ta,ne,2
eo,mr,2
it,ks,2
bpy,bn,2
ne,bo,2
hif,hi,2
ks,fa,2
fr,new,2
as,dz,2
pl,hi,2
ur,it,2
sr,ur,2
simple,sat,2
bh,as,2
bn,de,2
ur,kn,2
hi,pt,2
kn,gu,2
sa,bn,2
en-simple,ml,2
ar,si,2
vi,bn,2
fr,dty,2
ml,kn,2
hi,gom,2
tg,hi,2
az,ks,2
fr,pa,2
bn,gl,2
ml,my,2
bn,su,2
new,mr,2
te,mr,2
or,te,2
uk,hi,2
ro,bn,2
te,ru,2
mai,simple,2
ha,hi,2
uk,bn,2
ms,bn,2
pt,te,2
ur,ckb,2
hi,jv,2
ru,ml,2
mr,bh,2
so,hi,2
sd,ar,2
pa,bn,2
fi,gu,2
ps,hi,2
ur,gu,2
as,bh,2
sd,ks,2
de,as,2
bn,nl,2
hi,nl,2
simple,sa,2
bn,ckb,2
ka,ur,2
fi,ks,2
or,as,2
it,ml,2
mr,simple,2
uk,ur,2
hi,eo,2
as,ne,2
ru,ks,2
ta,eo,2
hi,fr,2
ar,mr,2
sa,kn,2
zh,ta,2
