domain,month,desktop,mobile_web,mobile_app,total
ta.wikipedia.org,2019-12,1722506,8450857,88757,10262120
ta.wikipedia.org,2020-01,1938726,10440297,90006,12469029
ta.wikipedia.org,2020-02,1866267,9032942,82312,10981521
ta.wikipedia.org,2020-03,3088374,8269916,84714,11443004
ta.wikipedia.org,2020-04,1430710,9864206,109037,11403953
ta.wikipedia.org,2020-05,1475370,8610135,87590,10173095
ta.wikipedia.org,2020-06,1208926,6405239,27639,7641804
ta.wikipedia.org,2020-07,1309786,7346541,83545,8739872
ta.wikipedia.org,2020-08,1285107,7545827,75509,8906443
ta.wikipedia.org,2020-09,1551991,7860151,93981,9506123
ta.wikipedia.org,2020-10,2662096,8139771,87898,10889765
ta.wikipedia.org,2020-11,1565905,8341849,87759,9995513
ta.wikipedia.org,2020-12,1701831,10993241,99454,12794526
ta.wikipedia.org,2021-01,1613937,8704356,77584,10395877
ta.wikipedia.org,2021-02,1880998,8797793,74730,10753521
ta.wikipedia.org,2021-03,1630731,10741320,79740,12451791
ta.wikipedia.org,2021-04,1472944,9555026,74598,11102568
ta.wikipedia.org,2021-05,1428124,9503028,88650,11019802
ta.wikipedia.org,2021-06,1479383,10380647,90925,11950955
ta.wikipedia.org,2021-07,1578009,11023731,84353,12686093
ta.wikipedia.org,2021-08,1740295,10646570,73229,12460094
ta.wikipedia.org,2021-09,1338006,10486964,71932,11896902
ta.wikipedia.org,2021-10,1358232,10267996,68901,11695129
ta.wikipedia.org,2021-11,1281631,9800959,67008,11149598
ta.wikipedia.org,2021-12,1933797,11092753,76387,13102937
ta.wikipedia.org,2022-01,2009772,9641545,75422,11726739
ta.wikipedia.org,2022-02,2026568,11438271,74769,13539608
ta.wikipedia.org,2022-03,1737561,10731434,70890,12539885
ta.wikipedia.org,2022-04,1386352,10153012,64924,11604288
ta.wikipedia.org,2022-05,1337496,9911994,66446,11315936
ta.wikipedia.org,2022-06,1274261,9575456,65637,10915354
ta.wikipedia.org,2022-07,1352525,11104946,67451,12524922
ta.wikipedia.org,2022-08,1239731,10289132,66594,11595457
ta.wikipedia.org,2022-09,1273911,10249718,62623,11586252
ta.wikipedia.org,2022-10,1347085,12070431,70757,13488273
ta.wikipedia.org,2022-11,1325836,13549987,67204,14943027
ta.wikipedia.org,2022-12,1397293,11037851,68658,12503802
ta.wikipedia.org,2023-01,1403572,11486567,62311,12952450
ta.wikipedia.org,2023-02,1307428,11632300,62202,13001930
ta.wikipedia.org,2023-03,1422588,12181734,61028,13665350
ta.wikipedia.org,2023-04,1233583,9749855,51357,11034795
ta.wikipedia.org,2023-05,1307629,11825683,55800,13189112
ta.wikipedia.org,2023-06,1559999,11962807,47102,13569908
ta.wikipedia.org,2023-07,1696814,13505943,55884,15258641
ta.wikipedia.org,2023-08,1531438,13956937,55150,15543525
ta.wikipedia.org,2023-09,1332390,12312488,50609,13695487
ta.wikipedia.org,2023-10,1477890,14143550,51141,15672581
ta.wikipedia.org,2023-11,1394564,12878362,45947,14318873
ta.wikipedia.org,2023-12,1535863,13531948,49821,15117632
ta.wikipedia.org,2024-01,2674277,13527487,48807,16250571
ta.wikipedia.org,2024-02,1399078,13588666,48299,15036043
ta.wikipedia.org,2024-03,1473446,14490056,50009,16013511
ta.wikipedia.org,2024-04,1379149,13371775,44839,14795763
ta.wikipedia.org,2024-05,1946089,10454470,44781,12445340
ta.wikipedia.org,2024-06,1363981,9162343,41309,10567633
ta.wikipedia.org,2024-07,1315032,9359171,44732,10718935
ta.wikipedia.org,2024-08,1697349,9762642,45153,11505144
ta.wikipedia.org,2024-09,1171185,8441009,43542,9655736
ta.wikipedia.org,2024-10,1241635,9365270,44057,10650962
ta.wikipedia.org,2024-11,1206700,9405377,45571,10657648
ta.wikipedia.org,2024-12,1280572,8710381,47514,10038467
ta.wikipedia.org,2025-01,1914630,9155137,48075,11117842
ta.wikipedia.org,2025-02,1931820,7663979,45901,9641700
ta.wikipedia.org,2025-03,1943618,8219042,46560,10209220
ta.wikipedia.org,2025-04,1309885,7015135,37296,8362316
ta.wikipedia.org,2025-05,1573792,6925297,37404,8536493
ta.wikipedia.org,2025-06,1341942,6378116,31811,7751869
ta.wikipedia.org,2025-07,2552339,7530752,32491,10115582
ta.wikipedia.org,2025-08,1432519,6531158,36599,8000276
ta.wikipedia.org,2025-09,1149310,6073654,30397,7253361
ta.wikipedia.org,2025-10,1546184,5942534,31332,7520050
ta.wikipedia.org,2025-11,2226294,5812608,25915,8064817
ta.wikipedia.org,2025-12,1466971,4867505,24767,6359243
ta.wikipedia.org,2026-01,1851999,4926721,27241,6805961
ta.wikipedia.org,2026-02,1260027,3940832,23194,5224053
ta.wikipedia.org,2026-03,1597401,4029351,24149,5650901
ta.wikipedia.org,2026-04,1334099,3845534,25227,5204860
ta.wikipedia.org,2026-05,1869955,4095760,22974,5988689
ta.wikipedia.org,2026-06,1962591,3756199,22827,5741617
ta.wikipedia.org,2026-07,1649278,4218051,21704,5889033
